N,d,sigma,weight_decay,e_in_mean,e_out_mean,e_bias
10,11,0.01,0.0,0.06200348335726554,0.6190844228134349,0.14587551583662092
10,11,0.01,0.1,0.08938960593350156,0.29890003258306763,0.1871300926122632
10,11,0.1,0.0,0.06748774156487176,0.33242300320368623,0.16393110585888226
10,11,0.1,0.1,0.09587952735926228,0.2825443667583829,0.1696696791050273
10,11,1,0.0,0.6257952924257252,2.2667345021614014,1.2793255192042725
10,11,1,0.1,0.8495892521226247,1.9194979382534811,1.2402920451468376
10,12,0.01,0.0,0.04988796580867897,0.47760973727738454,0.22574241323097527
10,12,0.01,0.1,0.0893637527897482,0.276036470081051,0.18440289732739198
10,12,0.1,0.0,0.05727751059262165,0.3479101061203631,0.15446044209368134
10,12,0.1,0.1,0.1022019511569906,0.2934750647534475,0.18181218724254652
10,12,1,0.0,0.8024554251387167,2.0294735687708956,1.2253649217363236
10,12,1,0.1,0.8138432018097536,1.9601985428017603,1.1300973372940832
10,13,0.01,0.0,0.059917382565236155,0.47164368675469426,0.1909827042059104
10,13,0.01,0.1,0.08259079781259943,0.3008376250784471,0.19664875682118754
10,13,0.1,0.0,0.05787270454438943,0.5261593199409142,0.15274187694276692
10,13,0.1,0.1,0.09333193253714189,0.28316632941973285,0.17062121970671953
10,13,1,0.0,0.6232718996321689,2.081801764254706,1.2980067135934918
10,13,1,0.1,0.7617750314794285,1.903149322209203,1.198548932253821
10,14,0.01,0.0,0.05584611389510182,0.2882985146615012,0.12495658417823542
10,14,0.01,0.1,0.07740021912357742,0.49270507978233286,0.16622861523578134
10,14,0.1,0.0,0.05375498688749982,0.5436915399744546,0.13037478689007748
10,14,0.1,0.1,0.08815182063059475,0.327570802478537,0.15017938182296525
10,14,1,0.0,0.6398778724080906,2.3795014646745707,1.047277565623454
10,14,1,0.1,0.7499007639743918,1.8198959867522047,1.2449522473165227
10,15,0.01,0.0,0.05170732709351712,0.3175161050000939,0.15294058619420833
10,15,0.01,0.1,0.08520748474775135,0.5246031337751527,0.1663612844816248
10,15,0.1,0.0,0.05872847689227878,0.32450196198805914,0.11891772637181097
10,15,0.1,0.1,0.09068828420028989,0.33647416193718116,0.20430321660947084
10,15,1,0.0,0.6095647585302987,2.2477925544219617,1.2660944712761988
10,15,1,0.1,0.6506925661074383,1.8863712486842534,1.1118252584122792
10,16,0.01,0.0,0.05075720929586229,0.7808016057128871,0.33003896911777336
10,16,0.01,0.1,0.07498549112414148,0.3564774854046686,0.17653436948253243
10,16,0.1,0.0,0.05084459001535339,0.6976067678950475,0.3749150455159337
10,16,0.1,0.1,0.09687540835629267,0.31437425033222877,0.19781458459189788
10,16,1,0.0,0.5989470267104287,2.3857999043437754,1.4238708283207384
10,16,1,0.1,0.8908629230414753,2.059527580579899,1.129169369556072
10,17,0.01,0.0,0.03932211001583793,0.4382881083567149,0.18975787243040446
10,17,0.01,0.1,0.08293431359744671,0.40983354850582004,0.22460933297813057
10,17,0.1,0.0,0.05671419555507563,0.42974759956989483,0.18078645683206906
